SAMPLE	GENOME	TOT_RDS	TOT_BP	Size	MEAN_COV	COM_FRAC
ET_9mem_3	E.coli_WM3604_scaffold_min1000	1	119	4612074	2.58018409938782e-05	7.95685342789282e-06
ET_9mem_3	Klebsiella_michiganensis_M5a1_GCF_002090195.1	70587	9919439	5800138	1.7102074123064	0.527399177223303
ET_9mem_3	Methylobacterium_sp_UNC378MF_GCF_900103195.1	5	552	6358020	8.68194815367048e-05	2.67736666324356e-05
ET_9mem_3	Pseudomonas_simiae_WCS417_GCF_000698265.1	47564	6669089	6169071	1.08105239832707	0.333378361776642
ET_9mem_3	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	15820	2214520	5087452	0.435290593405107	0.134236291553254
ET_9mem_3	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
ET_9mem_3	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_3	pHLL249	0	0	4808	0	0
ET_9mem_3	pHLL250	0	0	4892	0	0
ET_9mem_4	AMD830_Bacillus_Bacilli_39_7.contigs	6	904	5285864	0.000171022182939251	3.81514211400414e-05
ET_9mem_4	AMD835_Microbacterium_Actinobacteria_70_608.contigs	40	5891	3973113	0.00148271644929304	0.000330762587145429
ET_9mem_4	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	24	3620	4712276	0.000768206276542376	0.000171370524426073
ET_9mem_4	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	198	28525	6293399	0.0045325268586975	0.00101111059420953
ET_9mem_4	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	116	16890	7381819	0.00228805393359008	0.000510416296361571
ET_9mem_4	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	188	26743	5018507	0.00532887569948592	0.00118875912773395
ET_9mem_4	E.coli_WM3604_scaffold_min1000	4630	671119	4612074	0.145513493495551	0.0324609736380187
ET_9mem_4	Klebsiella_michiganensis_M5a1_GCF_002090195.1	64628	9382832	5800138	1.61769116527917	0.36087258307896
ET_9mem_4	Methylobacterium_sp_UNC378MF_GCF_900103195.1	2	301	6358020	4.73417825046162e-05	1.05609474210455e-05
ET_9mem_4	Pseudomonas_simiae_WCS417_GCF_000698265.1	30080	4352258	6169071	0.705496500202381	0.157381303579823
ET_9mem_4	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	13246	1914628	5087452	0.376343206776202	0.0839541861070308
ET_9mem_4	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
ET_9mem_4	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_4	pHLL249	0	0	4808	0	0
ET_9mem_4	pHLL250	58	7940	4892	1.62305805396566	0.362069822097729
ET_9mem_5	AMD830_Bacillus_Bacilli_39_7.contigs	55	7490	5285864	0.00141698689183074	3.35668322567677e-05
ET_9mem_5	AMD835_Microbacterium_Actinobacteria_70_608.contigs	324	44367	3973113	0.0111668105085358	0.000264529232658494
ET_9mem_5	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	322	45057	4712276	0.00956162160280934	0.000226504105503416
ET_9mem_5	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	1749	241161	6293399	0.0383196743127204	0.000907750161419771
ET_9mem_5	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	1094	154446	7381819	0.0209224853657344	0.00049563024239336
ET_9mem_5	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	1253	173924	5018507	0.0346565223481804	0.000820974194589269
ET_9mem_5	E.coli_WM3604_scaffold_min1000	56107	7905103	4612074	1.71400177013639	0.0406027820283064
ET_9mem_5	Klebsiella_michiganensis_M5a1_GCF_002090195.1	616418	86850039	5800138	14.9737883822764	0.354712274174127
ET_9mem_5	Methylobacterium_sp_UNC378MF_GCF_900103195.1	25	2648	6358020	0.000416481860705062	9.86598876593082e-06
ET_9mem_5	Pseudomonas_simiae_WCS417_GCF_000698265.1	190192	26735059	6169071	4.33372528862125	0.102661097748135
ET_9mem_5	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	97795	13700755	5087452	2.69304850443798	0.0637953025034805
ET_9mem_5	Sinorhizobium_meliloti_1021_GCF_000006965.1	2	35	6691694	5.23036468792506e-06	1.23901480764208e-07
ET_9mem_5	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_5	pHLL249	0	0	4808	0	0
ET_9mem_5	pHLL250	634	89929	4892	18.3828699918234	0.435469598886883
ET_9mem_6	AMD830_Bacillus_Bacilli_39_7.contigs	4	603	5285864	0.000114077849903062	2.50915878071385e-05
ET_9mem_6	AMD835_Microbacterium_Actinobacteria_70_608.contigs	25	3666	3973113	0.000922702173333605	0.000202949675346363
ET_9mem_6	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	33	4513	4712276	0.000957711305534735	0.000210649984524901
ET_9mem_6	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	173	25383	6293399	0.00403327359349058	0.000887124350671734
ET_9mem_6	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	120	17387	7381819	0.00235538151233456	0.000518069564654959
ET_9mem_6	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	150	21249	5018507	0.00423412779936344	0.000931302523273817
ET_9mem_6	E.coli_WM3604_scaffold_min1000	4379	634606	4612074	0.137596664754295	0.0302645850932987
ET_9mem_6	Klebsiella_michiganensis_M5a1_GCF_002090195.1	67725	9822759	5800138	1.69353884338614	0.372496313962193
ET_9mem_6	Methylobacterium_sp_UNC378MF_GCF_900103195.1	7	958	6358020	0.000150675839333629	3.31413684274966e-05
ET_9mem_6	Pseudomonas_simiae_WCS417_GCF_000698265.1	30978	4489881	6169071	0.727805045524683	0.160081770666075
ET_9mem_6	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	13053	1884889	5087452	0.370497647938497	0.0814914926384628
ET_9mem_6	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
ET_9mem_6	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_6	pHLL249	0	0	4808	0	0
ET_9mem_6	pHLL250	53	7848	4892	1.60425183973835	0.352857508585263
ET_9mem_7	AMD830_Bacillus_Bacilli_39_7.contigs	190	28097	5285864	0.00531549809075678	0.00116159454701707
ET_9mem_7	AMD835_Microbacterium_Actinobacteria_70_608.contigs	167	24795	3973113	0.00624069841456812	0.00136377835607657
ET_9mem_7	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	718	106000	4712276	0.0224944379319038	0.004915704228236
ET_9mem_7	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	299	44303	6293399	0.00703959815673534	0.00153836172874836
ET_9mem_7	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	11949	1762495	7381819	0.238761611467309	0.0521765187724768
ET_9mem_7	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	4744	693752	5018507	0.138238723189985	0.0302092756506337
ET_9mem_7	E.coli_WM3604_scaffold_min1000	5	737	4612074	0.000159797956407464	3.49206098126837e-05
ET_9mem_7	Klebsiella_michiganensis_M5a1_GCF_002090195.1	131957	19475394	5800138	3.35774666051049	0.733767587631374
ET_9mem_7	Methylobacterium_sp_UNC378MF_GCF_900103195.1	40	5789	6358020	0.000910503584449247	0.000198972134064894
ET_9mem_7	Pseudomonas_simiae_WCS417_GCF_000698265.1	5542	809710	6169071	0.131253149785438	0.0286827199382689
ET_9mem_7	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	23110	3397782	5087452	0.667874999115471	0.145950566403291
ET_9mem_7	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
ET_9mem_7	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_7	pHLL249	0	0	4808	0	0
ET_9mem_7	pHLL250	0	0	4892	0	0
ET_9mem_8	AMD830_Bacillus_Bacilli_39_7.contigs	1041	151985	5285864	0.0287531045066615	0.00145979609734076
ET_9mem_8	AMD835_Microbacterium_Actinobacteria_70_608.contigs	771	109509	3973113	0.0275625183577714	0.00139934999791886
ET_9mem_8	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	4883	708946	4712276	0.150446620698788	0.00763818006863619
ET_9mem_8	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	1372	196162	6293399	0.0311694840895993	0.00158247577125385
ET_9mem_8	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	56955	8254703	7381819	1.11824781940603	0.0567734799645909
ET_9mem_8	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	28207	4057564	5018507	0.808520143540699	0.0410485952878116
ET_9mem_8	E.coli_WM3604_scaffold_min1000	25	3497	4612074	0.000758227209710859	3.84952213204333e-05
ET_9mem_8	Klebsiella_michiganensis_M5a1_GCF_002090195.1	529858	76970544	5800138	13.270467702665	0.673742098274946
ET_9mem_8	Methylobacterium_sp_UNC378MF_GCF_900103195.1	231	32636	6358020	0.00513304456418822	0.000260604847749297
ET_9mem_8	Pseudomonas_simiae_WCS417_GCF_000698265.1	27866	3975173	6169071	0.644371413459174	0.0327147586580684
ET_9mem_8	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	127108	18371926	5087452	3.61122345724343	0.183341938199683
ET_9mem_8	Sinorhizobium_meliloti_1021_GCF_000006965.1	2	30	6691694	4.48316973250719e-06	2.27610680360237e-07
ET_9mem_8	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_8	pHLL249	0	0	4808	0	0
ET_9mem_8	pHLL250	0	0	4892	0	0
ET_9mem_9	AMD830_Bacillus_Bacilli_39_7.contigs	2471	363348	5285864	0.0687395665117377	0.00124251401677757
ET_9mem_9	AMD835_Microbacterium_Actinobacteria_70_608.contigs	2036	295114	3973113	0.0742777766451646	0.00134262089943398
ET_9mem_9	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	10127	1486132	4712276	0.315374566345435	0.00570060794829771
ET_9mem_9	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	4590	668518	6293399	0.106225268729982	0.00192009336152025
ET_9mem_9	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	156785	22980403	7381819	3.11310843573921	0.0562715341897592
ET_9mem_9	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	81059	11819699	5018507	2.35522218062065	0.0425722290748938
ET_9mem_9	E.coli_WM3604_scaffold_min1000	54	7514	4612074	0.00162920195989917	2.94489240194808e-05
ET_9mem_9	Klebsiella_michiganensis_M5a1_GCF_002090195.1	1454419	213469722	5800138	36.8042487954597	0.665261614612002
ET_9mem_9	Methylobacterium_sp_UNC378MF_GCF_900103195.1	760	107487	6358020	0.0169057348042315	0.000305582556366503
ET_9mem_9	Pseudomonas_simiae_WCS417_GCF_000698265.1	80291	11636507	6169071	1.88626569543453	0.0340955243810549
ET_9mem_9	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	363862	53266517	5087452	10.4701758365484	0.189255488435701
ET_9mem_9	Sinorhizobium_meliloti_1021_GCF_000006965.1	2	30	6691694	4.48316973250719e-06	8.10363159808691e-08
ET_9mem_9	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_9	pHLL249	0	0	4808	0	0
ET_9mem_9	pHLL250	4	542	4892	0.1107931316435	0.00200266056385771
ET_9mem_10	AMD830_Bacillus_Bacilli_39_7.contigs	87	13108	5285864	0.00247982165261914	0.00101563493652568
ET_9mem_10	AMD835_Microbacterium_Actinobacteria_70_608.contigs	60	8874	3973113	0.0022335131167928	0.000914756893991655
ET_9mem_10	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	257	38297	4712276	0.00812707065545397	0.00332852037184766
ET_9mem_10	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	283	42277	6293399	0.00671767354969866	0.00275128815898613
ET_9mem_10	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	5482	820591	7381819	0.111163793097609	0.0455282063641148
ET_9mem_10	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	2961	442641	5018507	0.0882017301161481	0.0361238714378335
ET_9mem_10	E.coli_WM3604_scaffold_min1000	2	282	4612074	6.11438584896947e-05	2.50420584764746e-05
ET_9mem_10	Klebsiella_michiganensis_M5a1_GCF_002090195.1	58837	8810688	5800138	1.51904799506495	0.622140794850218
ET_9mem_10	Methylobacterium_sp_UNC378MF_GCF_900103195.1	27	4069	6358020	0.000639979112994297	0.000262109634020343
ET_9mem_10	Pseudomonas_simiae_WCS417_GCF_000698265.1	5461	810855	6169071	0.131438753095888	0.0538320122806264
ET_9mem_10	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	11059	1654514	5087452	0.325214665416008	0.133194810892208
ET_9mem_10	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
ET_9mem_10	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_10	pHLL249	0	0	4808	0	0
ET_9mem_10	pHLL250	8	1205	4892	0.246320523303352	0.100882952121152
ET_9mem_11	AMD830_Bacillus_Bacilli_39_7.contigs	73	10118	5285864	0.00191416199887095	0.00130568281151561
ET_9mem_11	AMD835_Microbacterium_Actinobacteria_70_608.contigs	30	4108	3973113	0.00103394995309723	0.000705275040734646
ET_9mem_11	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	234	33376	4712276	0.00708277698504926	0.00483128396271157
ET_9mem_11	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	180	25971	6293399	0.00412670482198888	0.00281489631360752
ET_9mem_11	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	3152	454270	7381819	0.0615390325880383	0.0419768322299231
ET_9mem_11	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	1752	248378	5018507	0.0494924087980748	0.0337596230132383
ET_9mem_11	E.coli_WM3604_scaffold_min1000	3	317	4612074	6.87326352526e-05	4.6883712294166e-05
ET_9mem_11	Klebsiella_michiganensis_M5a1_GCF_002090195.1	30988	4518500	5800138	0.779033188520687	0.531391932580223
ET_9mem_11	Methylobacterium_sp_UNC378MF_GCF_900103195.1	9	1220	6358020	0.000191883636729674	0.000130887127858989
ET_9mem_11	Pseudomonas_simiae_WCS417_GCF_000698265.1	3437	475638	6169071	0.0771004256556619	0.0525915260038142
ET_9mem_11	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	7290	1051271	5087452	0.206639984023436	0.140952686068579
ET_9mem_11	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
ET_9mem_11	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_11	pHLL249	0	0	4808	0	0
ET_9mem_11	pHLL250	9	1359	4892	0.277800490596893	0.1894924911355
ET_9mem_12	AMD830_Bacillus_Bacilli_39_7.contigs	26	3917	5285864	0.000741033064793192	0.00102682901805099
ET_9mem_12	AMD835_Microbacterium_Actinobacteria_70_608.contigs	15	2076	3973113	0.000522512196355855	0.000724030695787485
ET_9mem_12	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	128	18242	4712276	0.00387116544107349	0.00536416686032729
ET_9mem_12	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	74	10765	6293399	0.00171052240609566	0.00237022357847905
ET_9mem_12	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	1692	245659	7381819	0.0332789248828778	0.0461136855867756
ET_9mem_12	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	949	135951	5018507	0.0270899293355574	0.0375377656683432
ET_9mem_12	E.coli_WM3604_scaffold_min1000	0	0	4612074	0	0
ET_9mem_12	Klebsiella_michiganensis_M5a1_GCF_002090195.1	18588	2711396	5800138	0.467470946380931	0.647761558350517
ET_9mem_12	Methylobacterium_sp_UNC378MF_GCF_900103195.1	17	2562	6358020	0.000402955637132315	0.000558364479067016
ET_9mem_12	Pseudomonas_simiae_WCS417_GCF_000698265.1	2171	302717	6169071	0.0490701112047503	0.0679950956278698
ET_9mem_12	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	3732	542559	5087452	0.106646509883533	0.147777118491784
ET_9mem_12	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
ET_9mem_12	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_12	pHLL249	0	0	4808	0	0
ET_9mem_12	pHLL250	1	151	4892	0.0308667211774325	0.0427711616429992
ET_9mem_13	AMD830_Bacillus_Bacilli_39_7.contigs	112	15872	5285864	0.00300272576063251	0.00040399162451868
ET_9mem_13	AMD835_Microbacterium_Actinobacteria_70_608.contigs	92	12942	3973113	0.00325739539751323	0.000438255293105369
ET_9mem_13	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	278	39151	4712276	0.00830829942898082	0.00111781216496926
ET_9mem_13	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	511	72381	6293399	0.0115010982141765	0.0015473765244267
ET_9mem_13	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	11389	1628757	7381819	0.220644396726606	0.0296858572445021
ET_9mem_13	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	10963	1555778	5018507	0.310008135885832	0.0417090005595928
ET_9mem_13	E.coli_WM3604_scaffold_min1000	140	19863	4612074	0.00430673922404541	0.000579435724138166
ET_9mem_13	Klebsiella_michiganensis_M5a1_GCF_002090195.1	224554	32090276	5800138	5.53267456739822	0.744375066055172
ET_9mem_13	Methylobacterium_sp_UNC378MF_GCF_900103195.1	15	1961	6358020	0.000308429353792533	4.14965886400645e-05
ET_9mem_13	Pseudomonas_simiae_WCS417_GCF_000698265.1	21152	3017105	6169071	0.489069586004116	0.0658002203007916
ET_9mem_13	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	23711	3380934	5087452	0.664563321678514	0.089411433917921
ET_9mem_13	Sinorhizobium_meliloti_1021_GCF_000006965.1	1	20	6691694	2.98877982167146e-06	4.02115315129998e-07
ET_9mem_13	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_13	pHLL249	0	0	4808	0	0
ET_9mem_13	pHLL250	6	905	4892	0.184995911692559	0.024889651886907
ET_9mem_14	AMD830_Bacillus_Bacilli_39_7.contigs	68	9828	5285864	0.0018592986879723	0.000430390929800059
ET_9mem_14	AMD835_Microbacterium_Actinobacteria_70_608.contigs	59	8688	3973113	0.00218669844024069	0.000506177507129801
ET_9mem_14	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	153	22205	4712276	0.00471216032337664	0.0010907720615652
ET_9mem_14	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	299	43324	6293399	0.0068840383392186	0.00159351893311275
ET_9mem_14	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	6419	936196	7381819	0.126824567223878	0.0293573828465952
ET_9mem_14	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	5439	789805	5018507	0.157378479296731	0.0364300101286623
ET_9mem_14	E.coli_WM3604_scaffold_min1000	4	372	4612074	8.06578558800227e-05	1.86707008467482e-05
ET_9mem_14	Klebsiella_michiganensis_M5a1_GCF_002090195.1	134015	19576283	5800138	3.37514090181992	0.781278468240455
ET_9mem_14	Methylobacterium_sp_UNC378MF_GCF_900103195.1	7	955	6358020	0.000150203994325277	3.47692585357765e-05
ET_9mem_14	Pseudomonas_simiae_WCS417_GCF_000698265.1	11993	1744476	6169071	0.28277774724914	0.0654574643399828
ET_9mem_14	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	12660	1841801	5087452	0.362028182280639	0.083802375053314
ET_9mem_14	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
ET_9mem_14	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_14	pHLL249	0	0	4808	0	0
ET_9mem_14	pHLL250	0	0	4892	0	0
ET_9mem_15	AMD830_Bacillus_Bacilli_39_7.contigs	57	8369	5285864	0.00158327947900287	0.000370825572054688
ET_9mem_15	AMD835_Microbacterium_Actinobacteria_70_608.contigs	39	5575	3973113	0.00140318183751633	0.000328644256743252
ET_9mem_15	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	142	20503	4712276	0.00435097604639457	0.00101905772341384
ET_9mem_15	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	296	41690	6293399	0.00662440121784746	0.00155152479628874
ET_9mem_15	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	6293	907005	7381819	0.122870121849371	0.0287778524432828
ET_9mem_15	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	6192	890980	5018507	0.177538857672212	0.041582013366141
ET_9mem_15	E.coli_WM3604_scaffold_min1000	4	552	4612074	0.000119685850660679	2.80320528540229e-05
ET_9mem_15	Klebsiella_michiganensis_M5a1_GCF_002090195.1	131742	19053201	5800138	3.28495649586268	0.769381456595535
ET_9mem_15	Methylobacterium_sp_UNC378MF_GCF_900103195.1	5	675	6358020	0.000106165126879123	2.48653155866097e-05
ET_9mem_15	Pseudomonas_simiae_WCS417_GCF_000698265.1	13628	1962678	6169071	0.318148064757238	0.0745146006603937
ET_9mem_15	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	12426	1790304	5087452	0.351905826335069	0.0824211272177068
ET_9mem_15	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
ET_9mem_15	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_15	pHLL249	0	0	4808	0	0
ET_9mem_15	pHLL250	0	0	4892	0	0
ET_9mem_16	AMD830_Bacillus_Bacilli_39_7.contigs	61	9117	5285864	0.00172478898435525	0.000467882786940086
ET_9mem_16	AMD835_Microbacterium_Actinobacteria_70_608.contigs	27	3882	3973113	0.000977067604168318	0.000265048720634098
ET_9mem_16	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	113	16694	4712276	0.00354266176259625	0.000961016375744781
ET_9mem_16	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	211	30547	6293399	0.00485381587914575	0.0013166926049668
ET_9mem_16	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	4728	691447	7381819	0.0936689181894056	0.0254095282899228
ET_9mem_16	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	3771	545979	5018507	0.108793113170909	0.0295122623416574
ET_9mem_16	E.coli_WM3604_scaffold_min1000	3	451	4612074	9.77868091448663e-05	2.65265868484087e-05
ET_9mem_16	Klebsiella_michiganensis_M5a1_GCF_002090195.1	103026	15114161	5800138	2.60582782685515	0.706881825529965
ET_9mem_16	Methylobacterium_sp_UNC378MF_GCF_900103195.1	2	301	6358020	4.73417825046162e-05	1.28423855543415e-05
ET_9mem_16	Pseudomonas_simiae_WCS417_GCF_000698265.1	7853	1151245	6169071	0.18661561846184	0.0506231408273473
ET_9mem_16	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	8131	1186213	5087452	0.233164460323164	0.0632504257047788
ET_9mem_16	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
ET_9mem_16	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_16	pHLL249	0	0	4808	0	0
ET_9mem_16	pHLL250	15	2187	4892	0.447056418642682	0.12127280784564
ET_9mem_17	AMD830_Bacillus_Bacilli_39_7.contigs	107	15661	5285864	0.00296280797235797	0.000564383268360731
ET_9mem_17	AMD835_Microbacterium_Actinobacteria_70_608.contigs	30	4330	3973113	0.00108982553478846	0.00020760012225071
